cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,2.010122197
MOBY,M2,500,HPG,BONCAT,A,1.286326244
MOBY,M2,500,HPG,BONCAT,A,1.005664763
MOBY,M2,500,HPG,BONCAT,A,1.071384704
MOBY,M2,500,HPG,BONCAT,A,0.531485321
MOBY,M2,500,HPG,BONCAT,A,2.29050319
MOBY,M2,500,HPG,BONCAT,A,2.873446912
MOBY,M2,500,HPG,BONCAT,A,3.996190208
MOBY,M2,500,HPG,BONCAT,A,1.422122312
MOBY,M2,500,HPG,BONCAT,A,0.956814878
MOBY,M2,500,HPG,BONCAT,A,0.335874455
MOBY,M2,500,HPG,BONCAT,A,10.16703634
MOBY,M2,500,HPG,BONCAT,A,1.07064211
MOBY,M2,500,HPG,BONCAT,A,0.227338365
MOBY,M2,500,HPG,BONCAT,A,0.217155193
MOBY,M2,500,HPG,BONCAT,A,1.488795525
MOBY,M2,500,HPG,BONCAT,A,6.837835221
MOBY,M2,500,HPG,BONCAT,A,6.66854167
MOBY,M2,500,HPG,BONCAT,A,1.571112186
MOBY,M2,500,HPG,BONCAT,A,1.322441436
MOBY,M2,500,HPG,BONCAT,A,1.878213175
MOBY,M2,500,HPG,BONCAT,A,0.982375698
MOBY,M2,500,HPG,BONCAT,A,3.208589969
MOBY,M2,500,HPG,BONCAT,A,0.298044869
MOBY,M2,500,HPG,BONCAT,A,0.750376363
MOBY,M2,500,HPG,BONCAT,A,1.851032825
MOBY,M2,500,HPG,BONCAT,A,3.511253699
MOBY,M2,500,HPG,BONCAT,A,1.835637387
MOBY,M2,500,HPG,BONCAT,A,0.966091359
MOBY,M2,500,HPG,BONCAT,A,1.180251939
MOBY,M2,500,HPG,BONCAT,A,2.672814864
MOBY,M2,500,HPG,BONCAT,A,0.566899247
MOBY,M2,500,HPG,BONCAT,A,4.182588779
MOBY,M2,500,HPG,BONCAT,A,1.51898212
MOBY,M2,500,HPG,BONCAT,A,1.028852039
MOBY,M2,500,HPG,BONCAT,A,2.881688047
MOBY,M2,500,HPG,BONCAT,A,6.347063185
MOBY,M2,500,HPG,BONCAT,A,2.062923749
MOBY,M2,500,HPG,BONCAT,A,1.247223776
MOBY,M2,500,HPG,BONCAT,A,0.319919722
MOBY,M2,500,HPG,BONCAT,A,3.937523616
MOBY,M2,500,HPG,BONCAT,A,5.005518293
MOBY,M2,500,HPG,BONCAT,A,3.109855641
MOBY,M2,500,HPG,BONCAT,A,2.693247404
MOBY,M2,500,HPG,BONCAT,A,1.805412485
MOBY,M2,500,HPG,BONCAT,A,2.240123526
MOBY,M2,500,HPG,BONCAT,A,1.261605678
MOBY,M2,500,HPG,BONCAT,A,2.824888138
MOBY,M2,500,HPG,BONCAT,A,0.988656997
MOBY,M2,500,HPG,BONCAT,A,0.652008158
MOBY,M2,500,HPG,BONCAT,A,0.92440447
MOBY,M2,500,HPG,BONCAT,A,0.539540725
MOBY,M2,500,HPG,BONCAT,A,0.957519511
MOBY,M2,500,HPG,BONCAT,A,2.299425374
MOBY,M2,500,HPG,BONCAT,A,1.300361398
MOBY,M2,500,HPG,BONCAT,A,4.900109278
MOBY,M2,500,HPG,BONCAT,A,1.902208626
MOBY,M2,500,HPG,BONCAT,A,0.958480213
MOBY,M2,500,HPG,BONCAT,A,1.292031321
MOBY,M2,500,HPG,BONCAT,A,1.408856998
MOBY,M2,500,HPG,BONCAT,A,1.344685178
MOBY,M2,500,HPG,BONCAT,A,0.437275608
MOBY,M2,500,HPG,BONCAT,A,6.791306438
MOBY,M2,500,HPG,BONCAT,A,4.859891606
MOBY,M2,500,HPG,BONCAT,A,5.722607016
MOBY,M2,500,HPG,BONCAT,A,2.333787318
MOBY,M2,500,HPG,BONCAT,A,1.20273039
MOBY,M2,500,HPG,BONCAT,A,2.11103902
MOBY,M2,500,HPG,BONCAT,A,3.039835497
MOBY,M2,500,HPG,BONCAT,A,0.7814304
MOBY,M2,500,HPG,BONCAT,A,1.763887208
MOBY,M2,500,HPG,BONCAT,A,1.115344768
MOBY,M2,500,HPG,BONCAT,A,3.626904517
MOBY,M2,500,HPG,BONCAT,A,0.840814653
MOBY,M2,500,HPG,BONCAT,A,1.707946402
MOBY,M2,500,HPG,BONCAT,A,2.736416358
MOBY,M2,500,HPG,BONCAT,A,7.33204607
MOBY,M2,500,HPG,BONCAT,A,5.599392483
MOBY,M2,500,HPG,BONCAT,A,9.902410169
MOBY,M2,500,HPG,BONCAT,A,0.448345885
MOBY,M2,500,HPG,BONCAT,A,1.627094867
MOBY,M2,500,HPG,BONCAT,A,1.67462912
MOBY,M2,500,HPG,BONCAT,A,0.468410756
MOBY,M2,500,HPG,BONCAT,A,4.711781763
MOBY,M2,500,HPG,BONCAT,A,3.473005681
MOBY,M2,500,HPG,BONCAT,A,2.31220729
MOBY,M2,500,HPG,BONCAT,A,1.949179152
MOBY,M2,500,HPG,BONCAT,A,0.930351692
MOBY,M2,500,HPG,BONCAT,A,7.610367306
MOBY,M2,500,HPG,BONCAT,A,0.227177754
MOBY,M2,500,HPG,BONCAT,A,2.674800284
MOBY,M2,500,HPG,BONCAT,A,2.565929717
MOBY,M2,500,HPG,BONCAT,A,2.482753212
MOBY,M2,500,HPG,BONCAT,A,3.17653084
MOBY,M2,500,HPG,BONCAT,A,3.833720136
MOBY,M2,500,HPG,BONCAT,A,2.813255484
MOBY,M2,500,HPG,BONCAT,A,0.414443191
MOBY,M2,500,HPG,BONCAT,A,4.764056221
MOBY,M2,500,HPG,BONCAT,A,2.64670899
MOBY,M2,500,HPG,BONCAT,A,2.396034438
MOBY,M2,500,HPG,BONCAT,A,7.046597051
MOBY,M2,500,HPG,BONCAT,A,1.962766587
MOBY,M2,500,HPG,BONCAT,A,1.160219621
MOBY,M2,500,HPG,BONCAT,A,1.593621485
MOBY,M2,500,HPG,BONCAT,A,6.890478853
MOBY,M2,500,HPG,BONCAT,A,1.181875269
MOBY,M2,500,HPG,BONCAT,A,4.607383236
MOBY,M2,500,HPG,BONCAT,A,0.716369461
MOBY,M2,500,HPG,BONCAT,A,2.167842853
MOBY,M2,500,HPG,BONCAT,A,2.675859347
MOBY,M2,500,HPG,BONCAT,A,1.886442581
MOBY,M2,500,HPG,BONCAT,A,2.2723186
MOBY,M2,500,HPG,BONCAT,A,1.900124179
MOBY,M2,500,HPG,BONCAT,A,4.133999874
MOBY,M2,500,HPG,BONCAT,A,0.345896109
MOBY,M2,500,HPG,BONCAT,A,1.309691599
MOBY,M2,500,HPG,BONCAT,A,3.14734127
MOBY,M2,500,HPG,BONCAT,A,2.132628877
MOBY,M2,500,HPG,BONCAT,A,4.458707669
MOBY,M2,500,HPG,BONCAT,A,7.156806481
MOBY,M2,500,HPG,BONCAT,A,1.149437165
MOBY,M2,500,HPG,BONCAT,A,1.584549332
MOBY,M2,500,HPG,BONCAT,A,1.18188966
MOBY,M2,500,HPG,BONCAT,A,4.174349155
MOBY,M2,500,HPG,BONCAT,A,3.079623084
MOBY,M2,500,HPG,BONCAT,A,2.827344933
MOBY,M2,500,HPG,BONCAT,A,5.148991711
MOBY,M2,500,HPG,BONCAT,A,1.495980885
MOBY,M2,500,HPG,BONCAT,A,4.930485389
MOBY,M2,500,HPG,BONCAT,A,9.901432169
MOBY,M2,500,HPG,BONCAT,A,0.895894262
MOBY,M2,500,HPG,BONCAT,A,5.115318505
MOBY,M2,500,HPG,BONCAT,A,2.117809852
MOBY,M2,500,HPG,BONCAT,A,0.41168257
MOBY,M2,500,HPG,BONCAT,A,5.451069396
MOBY,M2,500,HPG,BONCAT,A,1.31323322
MOBY,M2,500,HPG,BONCAT,A,3.910921456
MOBY,M2,500,HPG,BONCAT,A,0.817634278
MOBY,M2,500,HPG,BONCAT,A,1.00331693
MOBY,M2,500,HPG,BONCAT,A,1.056864803
