cruise,st,depth_m,substrate,method,repl,silver.grain_um2/h
MOBY,M2,100,Met,MAR,A,0.033774082
MOBY,M2,100,Met,MAR,A,0.045932752
MOBY,M2,100,Met,MAR,A,0.016211559
MOBY,M2,100,Met,MAR,A,0.071601054
MOBY,M2,100,Met,MAR,A,0.091865504
MOBY,M2,100,Met,MAR,A,0.181029081
MOBY,M2,100,Met,MAR,A,0.301264813
MOBY,M2,100,Met,MAR,A,0.055389495
MOBY,M2,100,Met,MAR,A,0.082408761
MOBY,M2,100,Met,MAR,A,0.407990913
MOBY,M2,100,Met,MAR,A,0.014860596
MOBY,M2,100,Met,MAR,A,0.020264449
MOBY,M2,100,Met,MAR,A,0.160764631
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.117533806
MOBY,M2,100,Met,MAR,A,0.245875318
MOBY,M2,100,Met,MAR,A,0.056740458
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.051336605
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.40258706
MOBY,M2,100,Met,MAR,A,0.09456743
MOBY,M2,100,Met,MAR,A,0.318827336
MOBY,M2,100,Met,MAR,A,0.125639586
MOBY,M2,100,Met,MAR,A,0.08646165
MOBY,M2,100,Met,MAR,A,0.160764631
MOBY,M2,100,Met,MAR,A,0.009456743
MOBY,M2,100,Met,MAR,A,0.121586696
MOBY,M2,100,Met,MAR,A,0.040528899
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.117533806
MOBY,M2,100,Met,MAR,A,0.077004907
MOBY,M2,100,Met,MAR,A,0.179678117
MOBY,M2,100,Met,MAR,A,0.064846238
MOBY,M2,100,Met,MAR,A,0.29586096
MOBY,M2,100,Met,MAR,A,0.105375136
MOBY,M2,100,Met,MAR,A,0.29180807
MOBY,M2,100,Met,MAR,A,0.19318775
MOBY,M2,100,Met,MAR,A,0.30801963
MOBY,M2,100,Met,MAR,A,0.052687568
MOBY,M2,100,Met,MAR,A,0.231014722
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.256683025
MOBY,M2,100,Met,MAR,A,0.166168484
MOBY,M2,100,Met,MAR,A,0.064846238
MOBY,M2,100,Met,MAR,A,0.10267321
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.028370229
MOBY,M2,100,Met,MAR,A,0.128341512
MOBY,M2,100,Met,MAR,A,0.036476009
MOBY,M2,100,Met,MAR,A,0.183731007
MOBY,M2,100,Met,MAR,A,0.224259906
MOBY,M2,100,Met,MAR,A,0.120235733
MOBY,M2,100,Met,MAR,A,0.041879862
MOBY,M2,100,Met,MAR,A,0.067548164
MOBY,M2,100,Met,MAR,A,0.191836787
MOBY,M2,100,Met,MAR,A,0.171572338
MOBY,M2,100,Met,MAR,A,0.041879862
MOBY,M2,100,Met,MAR,A,0.043230825
MOBY,M2,100,Met,MAR,A,0.040528899
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.235067612
MOBY,M2,100,Met,MAR,A,0.235067612
MOBY,M2,100,Met,MAR,A,0.112129953
MOBY,M2,100,Met,MAR,A,0.071601054
MOBY,M2,100,Met,MAR,A,0.241822429
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.289106144
MOBY,M2,100,Met,MAR,A,0.120235733
MOBY,M2,100,Met,MAR,A,0.129692476
MOBY,M2,100,Met,MAR,A,0.340442749
MOBY,M2,100,Met,MAR,A,0.590370957
MOBY,M2,100,Met,MAR,A,0.081057797
MOBY,M2,100,Met,MAR,A,0.164817521
MOBY,M2,100,Met,MAR,A,0.166168484
MOBY,M2,100,Met,MAR,A,0.131043439
MOBY,M2,100,Met,MAR,A,0.476890041
MOBY,M2,100,Met,MAR,A,0.164817521
MOBY,M2,100,Met,MAR,A,0.699798983
MOBY,M2,100,Met,MAR,A,0.077004907
MOBY,M2,100,Met,MAR,A,0.372865868
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.033774082
MOBY,M2,100,Met,MAR,A,0.336389859
MOBY,M2,100,Met,MAR,A,0.10267321
MOBY,M2,100,Met,MAR,A,0.083759724
MOBY,M2,100,Met,MAR,A,0.421500546
MOBY,M2,100,Met,MAR,A,0.081057797
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.129692476
MOBY,M2,100,Met,MAR,A,0.045932752
MOBY,M2,100,Met,MAR,A,0.289106144
MOBY,M2,100,Met,MAR,A,0.370163941
MOBY,M2,100,Met,MAR,A,0.040528899
MOBY,M2,100,Met,MAR,A,0.224259906
MOBY,M2,100,Met,MAR,A,0.20939931
MOBY,M2,100,Met,MAR,A,0.064846238
MOBY,M2,100,Met,MAR,A,0.036476009
MOBY,M2,100,Met,MAR,A,0.033774082
MOBY,M2,100,Met,MAR,A,0.258033988
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.212101236
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.006754816
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.016211559
MOBY,M2,100,Met,MAR,A,0.013509633
MOBY,M2,100,Met,MAR,A,0.191836787
MOBY,M2,100,Met,MAR,A,0.054038532
MOBY,M2,100,Met,MAR,A,0.152658852
MOBY,M2,100,Met,MAR,A,0.039177935
