SilverGrain,BeauS,BeauW,ChukS,ChukW
0,49.29139216,52.1487588,62.45356428,71.74608255
0.5,25.04493331,31.56799419,21.352207,16.47659512
1,10.12211074,8.895527095,7.777020667,4.535513939
1.5,5.731695796,3.548749147,3.836726516,2.425432299
2,3.099847733,1.595646732,1.84582175,0.91378363
2.5,2.185789995,0.679915308,1.004344094,1.006087011
3,1.200722838,0.426475983,0.42721608,0.528313327
3.35,0.852555955,0,0,0.584206339
3.5,0.731276008,0,0,0.606921511
4,0.663034527,0,0,0.229850675
4.15,0.551717637,0,0,0
4.5,0.35672565,0,0,0
5,0.384005416,0,0,0
5.5,0.256380826,0,0,0
5.7,0,0,0,0
