Bin,Per_cells
0.115384615,21.96436037
0.230769231,17.62071488
0.355769231,14.76292503
0.475961538,8.354236343
0.600961538,7.199345039
0.721153846,6.225438963
0.841346154,5.251532887
0.961538462,3.987771739
1.081730769,2.832706243
1.192307692,2.546857581
1.326923077,2.189416109
1.4375,1.903567447
1.552884615,0.965719064
1.6875,0.572045708
1.798076923,1.518081104
1.923076923,0.471885452
2.043269231,0.476240245
2.158653846,0.661580268
2.278846154,0.702166945
2.399038462,0.670289855
2.514423077,0.457079153
2.644230769,0.679173634
2.745192308,0.465440357
2.884615385,0.470491918
2.995192308,0.728121516
3.240384615,0.338454571
3.610576923,0.351867336
3.841346154,0.396460424
3.951923077,0.400466834
4.081730769,0.405170011
