Per_cell,SP1,SP2,SP3,SP4,E1,E2
1,16.98361357,6.164130317,10.21224498,15.76711877,5.169076845,10.87079302
2,24.42847177,10.41756161,15.04939214,22.41459212,9.866113268,17.38354358
3,31.19984036,14.5009732,20.30317405,28.54894345,13.65682775,22.43494746
4,36.77330634,17.64510021,25.42105774,34.1122939,16.72499554,27.06971659
5,42.45748915,20.61861979,29.91451488,38.70635233,19.56979383,30.45210628
6,46.45712847,23.57896096,33.66447626,42.74540262,22.15597409,33.79378527
7,50.21602994,26.20585191,37.09357813,46.20745053,24.48353633,37.15581962
8,53.01294061,28.3496283,40.51785396,49.31086685,26.55248054,39.81683206
9,55.87809424,30.64306905,43.30817541,52.02635613,28.62142475,42.47125529
10,58.23318876,32.78684544,46.41159173,54.35391836,30.69036896,44.78505139
11,60.43803119,34.91085421,49.127081,56.16424455,32.37138613,46.90847243
12,62.5069754,36.95885535,51.37981106,58.02245835,34.18171231,49.06601496
13,64.31071237,38.87095827,53.19013724,59.54663424,35.86272948,51.06012699
14,66.25034757,40.77647198,55.38839047,61.07798705,37.54374665,52.93151922
15,67.67274672,42.40301232,57.15800596,62.65663976,38.9661458,54.88492055
16,69.35376389,44.13850632,58.36249777,64.05209435,40.51785396,56.69524674
17,70.77616303,45.8195235,60.30213297,65.47449349,42.06956211,58.11764588
18,72.06925316,47.37123165,61.85384112,66.89689264,43.36265225,59.6555879
19,73.36234329,49.05224882,63.27624027,68.06067376,44.78505139,61.09834239
20,74.3968154,50.73326599,64.95725744,69.22445487,46.07814152,62.6296952
21,75.4312875,52.15566514,66.25034757,70.38823599,47.50054067,63.83418702
22,76.46575961,53.7073733,67.65898058,71.42929731,48.7936308,65.08656645
23,77.56847469,55.12977244,68.89100467,72.46376941,50.08672093,66.29105827
24,78.53470382,56.6814806,69.96618747,73.49165231,51.37981106,67.41412869
25,79.3105579,58.23318876,71.07549175,74.52612441,52.54359218,68.53719911
26,80.08641198,59.39696987,71.98065484,75.39716602,53.83668231,69.72133558
27,80.99157507,60.98279952,72.97441625,76.28856297,55.12977244,70.62649867
28,81.76742915,62.24176816,74.13819737,77.15301537,56.42286257,71.55201711
29,82.41397421,63.40554928,75.13195878,77.96299093,57.45733468,72.56613387
30,83.18982829,64.69863941,76.01676653,78.77955571,58.6211158,73.34198795
31,83.83637336,65.99172954,76.96264031,79.48057761,59.6555879,74.19267421
32,84.48291842,67.15551066,77.79297123,80.08641198,60.81936902,74.91405145
33,85.2587725,68.31929178,78.49399312,80.82814457,61.85384112,75.66955018
34,85.85084074,69.61238191,79.43986691,81.50881112,62.75900422,76.35680594
35,86.36807679,70.64685402,80.10676732,82.17571153,63.79347632,77.16678151
36,87.06909869,71.93994415,80.88921061,82.84261195,64.82794843,77.88815875
37,87.47738107,72.97441625,81.50163419,83.46880167,65.86242053,78.62330214
38,88.04191703,74.00888836,82.26430985,84.09499138,66.63827461,79.3105579
39,88.55915308,75.04336046,82.91085492,84.74153645,67.67274672,79.95710296
40,89.00873388,75.94852356,83.53704464,85.28630478,68.70721882,80.56293733
41,89.52596994,76.85368665,84.03392534,85.77600855,69.4830729,81.2094824
42,89.98872916,77.92228024,84.59187209,86.39560906,70.38823599,81.93085965
43,90.37665619,78.66401283,85.17017418,86.93978967,71.29339908,82.41397421
44,90.86635997,79.56917592,85.85742994,87.42290424,72.06925316,83.04016393
45,91.25428701,80.34503,86.24535698,87.7359991,72.84510724,83.61846603
46,91.6218587,81.2501931,86.7081162,88.12392614,73.62096132,84.12911287
47,91.95530891,81.88297202,87.32053978,88.58668536,74.3968154,84.61222744
48,92.3228806,82.67259224,87.783299,89.14463211,75.17266948,85.17017418
49,92.71080764,83.31913731,88.20534753,89.53255914,75.94852356,85.77600855
50,92.98978101,84.03392534,88.49808704,89.96837381,76.72437764,86.29324461
51,93.43218489,84.79601328,89.01532309,90.39701154,77.50023171,86.75600383
52,93.77940123,85.38149231,89.38289478,90.85318155,78.27608579,87.1984077
