Lake,Sample,Code,Time,Minutes,OD600
Frank 1,A,F1AA,0:00,0,0.037
Frank 1,B,F1BA,0:00,0,0.031
Frank 1,C,F1CA,0:00,0,0.041
Frank 1,D,F1DA,0:00,0,0.016
Frank 1,E,F1EA,0:00,0,0.029
Frank 2,A,F2AA,0:00,0,0.051
Frank 2,B,F2BA,0:00,0,0.03
Frank 2,C,F2CA,0:00,0,0.029
Frank 2,D,F2DA,0:00,0,0.047
Frank 2,E,F2EA,0:00,0,0.018
Goodman,A,GA,0:00,0,0.04
Goodman,B,GB,0:00,0,0.046
Goodman,C,GC,0:00,0,0.007
Goodman,D,GD,0:00,0,0.054
Goodman,E,GE,0:00,0,0.019
Frank 1,A,F1AA,4:20,260,0.031
Frank 1,B,F1BA,4:20,260,0.047
Frank 1,C,F1CA,4:20,260,0.021
Frank 1,D,F1DA,4:20,260,0.022
Frank 1,E,F1EA,4:20,260,0.086
Frank 2,A,F2AA,4:20,260,0.039
Frank 2,B,F2BA,4:20,260,0.043
Frank 2,C,F2CA,4:20,260,0.073
Frank 2,D,F2DA,4:20,260,0.079
Frank 2,E,F2EA,4:20,260,0.013
Goodman,A,GA,4:20,260,0.045
Goodman,B,GB,4:20,260,0.029
Goodman,C,GC,4:20,260,0.036
Goodman,D,GD,4:20,260,0.058
Goodman,E,GE,4:20,260,0.004
Frank 1,A,F1AA,6:10,370,0.04
Frank 1,B,F1BA,6:10,370,0.02
Frank 1,C,F1CA,6:10,370,0.006
Frank 1,D,F1DA,6:10,370,0
Frank 1,E,F1EA,6:10,370,0.02
Frank 2,A,F2AA,6:10,370,-0.011
Frank 2,B,F2BA,6:10,370,0.033
Frank 2,C,F2CA,6:10,370,0.049
Frank 2,D,F2DA,6:10,370,0.021
Frank 2,E,F2EA,6:10,370,0.032
Goodman,A,GA,6:10,370,0.034
Goodman,B,GB,6:10,370,0.042
Goodman,C,GC,6:10,370,0.035
Goodman,D,GD,6:10,370,0.034
Goodman,E,GE,6:10,370,0.014
Frank 1,A,F1AA,8:10,490,0.021
Frank 1,B,F1BA,8:10,490,0.015
Frank 1,C,F1CA,8:10,490,-0.01
Frank 1,D,F1DA,8:10,490,-0.02
Frank 1,E,F1EA,8:10,490,0.014
Frank 2,A,F2AA,8:10,490,0
Frank 2,B,F2BA,8:10,490,0.046
Frank 2,C,F2CA,8:10,490,0.044
Frank 2,D,F2DA,8:10,490,0.036
Frank 2,E,F2EA,8:10,490,-0.014
Goodman,A,GA,8:10,490,0.161
Goodman,B,GB,8:10,490,0.148
Goodman,C,GC,8:10,490,0.148
Goodman,D,GD,8:10,490,0.315
Goodman,E,GE,8:10,490,0.209
Frank 1,A,F1AA,9:00,540,0.013
Frank 1,B,F1BA,9:00,540,-0.008
