Lake,Culture,LC_code,Time,Mins,OD
Goodman,A,GA,4:20,260,0.045
Goodman,B,GB,4:20,260,0.029
Goodman,C,GC,4:20,260,0.036
Goodman,D,GD,4:20,260,0.058
Goodman,E,GE,4:20,260,0.004
Goodman,A,GA,8:10,490,0.161
Goodman,B,GB,8:10,490,0.148
Goodman,C,GC,8:10,490,0.148
Goodman,D,GD,8:10,490,0.315
Goodman,E,GE,8:10,490,0.209
Goodman,A,GA,9:00,540,0.332
Goodman,B,GB,9:00,540,0.339
Goodman,C,GC,9:00,540,0.298
Goodman,D,GD,9:00,540,0.424
Goodman,E,GE,9:00,540,0.327
Goodman,A,GA,9:45,585,0.485
Goodman,B,GB,9:45,585,0.502
Goodman,C,GC,9:45,585,0.561
Goodman,D,GD,9:45,585,0.587
Goodman,E,GE,9:45,585,0.516
Goodman,A,GA,10:30,630,0.635
Goodman,B,GB,10:30,630,0.645
Goodman,C,GC,10:30,630,0.69
Goodman,D,GD,10:30,630,0.75
Goodman,E,GE,10:30,630,0.543
Goodman,A,GA,11:15,675,0.85
Goodman,B,GB,11:15,675,0.878
Goodman,C,GC,11:15,675,0.865
Goodman,D,GD,11:15,675,1.074
Goodman,E,GE,11:15,675,0.899
Goodman,A,GA,12:00,720,1.077
Goodman,B,GB,12:00,720,0.963
Goodman,C,GC,12:00,720,0.929
Goodman,D,GD,12:00,720,1.283
Goodman,E,GE,12:00,720,1
Goodman,A,GA,12:45,765,1.014
Goodman,B,GB,12:45,765,1.008
Goodman,C,GC,12:45,765,1.005
Goodman,D,GD,12:45,765,1.233
Goodman,E,GE,12:45,765,1.08
Goodman,A,GA,13:30,810,1.161
Goodman,B,GB,13:30,810,1.154
Goodman,C,GC,13:30,810,1.143
Goodman,D,GD,13:30,810,1.221
Goodman,E,GE,13:30,810,1.093
Goodman,A,GA,53,3180,1.447
Goodman,B,GB,53,3180,1.64
Goodman,C,GC,53,3180,1.459
Goodman,D,GD,53,3180,1.576
Goodman,E,GE,53,3180,1.314
